timestamp,daily,average,date
1633219200000,479,469,2021-10-02
1633305600000,493,470,2021-10-03
1633392000000,492,471,2021-10-04
1633478400000,494,472,2021-10-05
1633564800000,487,473,2021-10-06
1633651200000,484,473,2021-10-07
1633737600000,482,474,2021-10-08
1633824000000,491,474,2021-10-09
1633910400000,483,474,2021-10-10
1633996800000,493,475,2021-10-11
1634083200000,512,477,2021-10-12
1634169600000,516,479,2021-10-13
1634256000000,505,480,2021-10-14
1634342400000,502,481,2021-10-15
1634428800000,489,482,2021-10-16
1634515200000,479,483,2021-10-17
1634601600000,485,484,2021-10-18
1634688000000,487,484,2021-10-19
1634774400000,497,485,2021-10-20
1634860800000,495,487,2021-10-21
1634947200000,484,487,2021-10-22
1635033600000,491,488,2021-10-23
1635120000000,498,489,2021-10-24
1635206400000,494,490,2021-10-25
1635292800000,501,490,2021-10-26
1635379200000,501,491,2021-10-27
1635465600000,512,492,2021-10-28
1635552000000,510,492,2021-10-29
1635638400000,508,493,2021-10-30
1635724800000,510,495,2021-10-31
1635811200000,519,496,2021-11-01
1635897600000,500,496,2021-11-02
1635984000000,500,496,2021-11-03
1636070400000,495,497,2021-11-04
1636156800000,507,497,2021-11-05
1636243200000,506,498,2021-11-06
1636329600000,496,498,2021-11-07
1636416000000,491,498,2021-11-08
1636502400000,487,499,2021-11-09
1636588800000,489,498,2021-11-10
1636675200000,495,498,2021-11-11
1636761600000,498,497,2021-11-12
1636848000000,499,497,2021-11-13
1636934400000,496,497,2021-11-14
1637020800000,498,497,2021-11-15
1637107200000,489,497,2021-11-16
1637193600000,497,498,2021-11-17
1637280000000,500,498,2021-11-18
1637366400000,499,498,2021-11-19
1637452800000,494,498,2021-11-20
1637539200000,495,499,2021-11-21
1637625600000,504,499,2021-11-22
1637712000000,508,499,2021-11-23
1637798400000,512,500,2021-11-24
1637884800000,511,500,2021-11-25
1637971200000,504,500,2021-11-26
1638057600000,503,500,2021-11-27
1638144000000,499,500,2021-11-28
1638230400000,501,500,2021-11-29
1638316800000,496,499,2021-11-30
1638403200000,492,498,2021-12-01
1638489600000,501,498,2021-12-02
1638576000000,490,498,2021-12-03
1638662400000,489,498,2021-12-04
1638748800000,500,497,2021-12-05
1638835200000,497,497,2021-12-06
1638921600000,507,498,2021-12-07
1639008000000,506,498,2021-12-08
1639094400000,508,499,2021-12-09
1639180800000,510,499,2021-12-10
1639267200000,504,500,2021-12-11
1639353600000,503,500,2021-12-12
1639440000000,504,500,2021-12-13
1639526400000,511,501,2021-12-14
1639612800000,521,501,2021-12-15
1639699200000,525,503,2021-12-16
1639785600000,529,504,2021-12-17
1639872000000,519,504,2021-12-18
1639958400000,516,505,2021-12-19
1640044800000,516,506,2021-12-20
1640131200000,508,506,2021-12-21
1640217600000,512,506,2021-12-22
1640304000000,516,507,2021-12-23
1640390400000,520,507,2021-12-24
1640476800000,522,507,2021-12-25
1640563200000,518,508,2021-12-26
1640649600000,520,508,2021-12-27
1640736000000,530,509,2021-12-28
1640822400000,540,511,2021-12-29
1640908800000,551,512,2021-12-30
1640995200000,562,515,2021-12-31
1641081600000,559,517,2022-01-01
1641168000000,548,519,2022-01-02
1641254400000,541,520,2022-01-03
1641340800000,540,522,2022-01-04
1641427200000,532,523,2022-01-05
1641513600000,519,523,2022-01-06
1641600000000,506,523,2022-01-07
1641686400000,511,523,2022-01-08
1641772800000,519,524,2022-01-09
1641859200000,519,524,2022-01-10
1641945600000,517,525,2022-01-11
1642032000000,517,525,2022-01-12
1642118400000,513,525,2022-01-13
1642204800000,505,525,2022-01-14
1642291200000,512,524,2022-01-15
1642377600000,514,524,2022-01-16
1642464000000,511,523,2022-01-17
1642550400000,503,523,2022-01-18
1642636800000,509,523,2022-01-19
1642723200000,508,523,2022-01-20
1642809600000,512,523,2022-01-21
1642896000000,512,523,2022-01-22
1642982400000,524,523,2022-01-23
1643068800000,532,523,2022-01-24
1643155200000,530,523,2022-01-25
1643241600000,547,524,2022-01-26
1643328000000,552,525,2022-01-27
1643414400000,544,525,2022-01-28
1643500800000,539,525,2022-01-29
1643587200000,523,523,2022-01-30
1643673600000,519,522,2022-01-31
1643760000000,512,521,2022-02-01
1643846400000,520,520,2022-02-02
1643932800000,514,519,2022-02-03
1644019200000,517,519,2022-02-04
1644105600000,517,519,2022-02-05
1644192000000,525,519,2022-02-06
1644278400000,521,520,2022-02-07
1644364800000,517,520,2022-02-08
1644451200000,513,519,2022-02-09
1644537600000,514,519,2022-02-10
1644624000000,528,520,2022-02-11
1644710400000,540,521,2022-02-12
1644796800000,559,522,2022-02-13
1644883200000,578,525,2022-02-14
1644969600000,582,527,2022-02-15
1645056000000,579,529,2022-02-16
1645142400000,582,532,2022-02-17
1645228800000,568,534,2022-02-18
1645315200000,578,536,2022-02-19
1645401600000,575,538,2022-02-20
1645488000000,568,540,2022-02-21
1645574400000,557,541,2022-02-22
1645660800000,555,542,2022-02-23
1645747200000,560,543,2022-02-24
1645833600000,567,544,2022-02-25
1645920000000,580,545,2022-02-26
1646006400000,580,546,2022-02-27
1646092800000,564,547,2022-02-28
1646179200000,545,547,2022-03-01
1646265600000,552,548,2022-03-02
1646352000000,566,550,2022-03-03
1646438400000,572,552,2022-03-04
1646524800000,565,554,2022-03-05
1646611200000,553,555,2022-03-06
1646697600000,543,556,2022-03-07
1646784000000,531,556,2022-03-08
1646870400000,546,557,2022-03-09
1646956800000,567,558,2022-03-10
1647043200000,552,560,2022-03-11
1647129600000,536,560,2022-03-12
1647216000000,532,561,2022-03-13
1647302400000,537,560,2022-03-14
1647388800000,538,560,2022-03-15
1647475200000,531,558,2022-03-16
1647561600000,529,556,2022-03-17
1647648000000,531,555,2022-03-18
1647734400000,522,553,2022-03-19
1647820800000,535,552,2022-03-20
1647907200000,545,551,2022-03-21
1647993600000,540,549,2022-03-22
1648080000000,539,549,2022-03-23
1648166400000,544,548,2022-03-24
1648252800000,552,548,2022-03-25
1648339200000,541,547,2022-03-26
1648425600000,532,546,2022-03-27
1648512000000,523,544,2022-03-28
1648598400000,520,542,2022-03-29
1648684800000,518,541,2022-03-30
